Cu,Ni,Al,std
0.1,0.42,0.48,7.2947373403207605
0.1,0.44,0.46,7.704455261117134
0.1,0.46,0.44,8.170119565940213
0.1,0.48,0.42,8.684669608849859
0.1,0.5,0.4,9.235468904452505
0.1,0.52,0.38,9.802483916860012
0.1,0.54,0.36,10.358018587736558
0.1,0.56,0.34,10.867884194838307
0.1,0.58,0.32,11.294029376107126
0.1,0.6,0.3,11.598951185086992
0.1,0.62,0.28,11.752565844773033
0.1,0.64,0.26,11.742519662286735
0.1,0.66,0.24,11.588821436822462
0.1,0.68,0.22,11.361977983658893
0.1,0.7,0.2,11.197404705491609
0.1,0.72,0.18,11.284745043012245
0.1,0.74,0.16,11.802779655407504
0.1,0.76,0.14,12.813519559367418
0.1,0.78,0.12,14.203137645632514
0.1,0.8,0.1,15.721288190853283
0.1,0.82,0.08,17.059483844439207
0.1,0.84,0.06,17.89243340585257
0.1,0.86,0.04,17.82494547575894
0.1,0.88,0.02,16.149130519003368
0.1,0.9,0.0,11.666553502835887
0.12,0.0,0.88,16.88131835946367
0.12,0.02,0.86,17.871497706458705
0.12,0.04,0.84,18.200765670622257
0.12,0.06,0.82,17.96880537933776
0.12,0.08,0.8,17.275326085952717
0.12,0.1,0.78,16.211309857148763
0.12,0.12,0.76,14.864298165850544
0.12,0.14,0.74,13.32504772417371
0.12,0.16,0.72,11.690115663158592
0.12,0.18,0.7,10.062428205817442
0.12,0.2,0.68,8.552322732119707
0.12,0.22,0.66,7.278421528120984
0.12,0.24,0.64,6.3595367643660685
0.12,0.26,0.62,5.879693879526197
0.12,0.28,0.6,5.832092690458663
0.12,0.3,0.58,6.109273815460631
0.12,0.32,0.56,6.568551747539268
0.12,0.34,0.54,7.095582060222594
0.12,0.36,0.52,7.620892378457021
0.12,0.38,0.5,8.110829021707268
0.12,0.4,0.48,8.555038921530636
0.12,0.42,0.46,8.956801890221433
0.12,0.44,0.44,9.326027627230985
0.12,0.46,0.42,9.673773467166814
0.12,0.48,0.4,10.007596128158042
0.12,0.5,0.38,10.327640976880408
0.12,0.52,0.36,10.623796888883499
0.12,0.54,0.34,10.874430114144827
0.12,0.56,0.32,11.047208701148966
0.12,0.58,0.3,11.102517723613195
0.12,0.6,0.28,11.000175399125162
0.12,0.62,0.26,10.710790812177681
0.12,0.64,0.24,10.234268802298192
0.12,0.66,0.22,9.629173731004192
0.12,0.68,0.2,9.053458775079582
0.12,0.7,0.18,8.790875783025932
0.12,0.72,0.16,9.171971603576496
0.12,0.74,0.14,10.341484469743541
0.12,0.76,0.12,12.122664255113644
0.12,0.78,0.1,14.148934373661236
0.12,0.8,0.08,16.027511391301232
0.12,0.82,0.06,17.40006666519406
0.12,0.84,0.04,17.91672827736815
0.12,0.86,0.02,17.088648807695392
0.12,0.88,0.0,14.180750948392541
